epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4123,2.09592,4.12909,2.13963,0.00573,0.16667,0.00343,0.00101,1.99967,4.56466,2.35349,0.00010003,0.00010003,0.00010003
2,40.2662,1.71786,3.8471,1.83621,0.01099,0.16667,0.03161,0.00538,1.99845,4.40537,2.10291,0.000210106,0.000210106,0.000210106
3,45.3875,1.81011,3.57059,1.83769,0.01709,0.16667,0.03686,0.01214,1.89266,4.26958,1.84525,0.000315655,0.000315655,0.000315655
4,50.9993,1.71311,3.20068,1.75044,0.0303,0.29167,0.10958,0.07527,1.65622,4.05833,1.67537,0.000416676,0.000416676,0.000416676
5,56.1287,1.83515,3.25838,1.79869,0.03017,0.29167,0.09118,0.07188,1.72738,4.04741,1.76938,0.000513171,0.000513171,0.000513171
6,61.5675,1.77838,3.05318,1.79347,0.03382,0.29167,0.11001,0.06372,1.83957,3.99079,1.78758,0.000605139,0.000605139,0.000605139
7,67.9942,1.65197,2.88429,1.65192,0.02456,0.29167,0.14752,0.07552,1.9355,3.91213,1.83663,0.000692579,0.000692579,0.000692579
8,73.4358,1.73328,2.77988,1.72034,0.72775,0.11387,0.16161,0.10522,1.95481,3.77955,1.86913,0.000775493,0.000775493,0.000775493
9,78.9418,1.73149,2.71972,1.76369,0.36554,0.08333,0.14882,0.0895,2.22677,3.76865,2.20511,0.000853879,0.000853879,0.000853879
10,84.2673,1.73828,2.90533,1.74909,0.54699,0.08333,0.14052,0.07728,2.27065,4.08187,2.30758,0.000927738,0.000927738,0.000927738
11,89.3141,1.55569,2.78655,1.67935,0.73302,0.11651,0.12242,0.06479,2.24395,3.99368,2.37909,0.00099707,0.00099707,0.00099707
12,94.7815,1.67391,2.68887,1.66748,0.38825,0.10736,0.13467,0.06616,2.30048,3.83984,2.35325,0.00106188,0.00106188,0.00106188
13,99.9778,1.59285,2.62617,1.65628,0.34139,0.21639,0.21855,0.08804,2.11747,3.60451,2.30563,0.00108947,0.00108947,0.00108947
14,105.381,1.72554,2.65271,1.73122,0.28212,0.25,0.19606,0.09073,2.16874,3.50276,2.25867,0.00106118,0.00106118,0.00106118
15,112.454,1.5885,2.45029,1.60205,0.35318,0.16667,0.18373,0.08282,2.11824,3.53425,2.1329,0.00103288,0.00103288,0.00103288
16,118.588,1.73005,2.67559,1.76073,0.1962,0.13258,0.14197,0.06894,2.18922,3.70552,2.18632,0.00100459,0.00100459,0.00100459
17,123.724,1.66511,2.67188,1.67961,0.15529,0.20833,0.14921,0.06231,2.35204,3.51209,2.24502,0.000976293,0.000976293,0.000976293
18,129.008,1.57346,2.42674,1.5709,0.21918,0.25,0.14941,0.06142,2.27131,3.46386,2.031,0.000947999,0.000947999,0.000947999
19,134.076,1.58554,2.58327,1.66584,0.38312,0.20833,0.18111,0.08967,2.16173,3.57087,1.9874,0.000919704,0.000919704,0.000919704
20,138.956,1.47547,2.2868,1.53237,0.45898,0.25,0.23659,0.09389,2.22323,3.63401,1.99685,0.00089141,0.00089141,0.00089141
21,143.928,1.53663,2.38655,1.5844,0.45456,0.29167,0.27139,0.12124,2.13005,3.5825,1.91435,0.000863116,0.000863116,0.000863116
22,148.995,1.4971,2.10127,1.54322,0.91227,0.16667,0.26563,0.10725,2.09025,3.25911,1.86415,0.000834822,0.000834822,0.000834822
23,153.86,1.48977,2.25167,1.48905,0.60504,0.16667,0.21217,0.10655,2.1062,3.34102,1.88572,0.000806528,0.000806528,0.000806528
24,158.787,1.55438,2.12177,1.51651,0.92265,0.125,0.17541,0.09693,2.15302,3.50475,1.98627,0.000778233,0.000778233,0.000778233
25,164.779,1.57909,2.17287,1.54538,0.48439,0.125,0.13518,0.07437,2.02175,3.59782,1.95799,0.000749939,0.000749939,0.000749939
26,169.827,1.31854,2.02721,1.33944,0.28199,0.125,0.11314,0.06101,2.05032,3.56254,1.94981,0.000721645,0.000721645,0.000721645
