epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2942,2.462,5.91737,3.13829,2.54204,0.00606,0.83333,0.08959,0.03477,0.00121,0.16667,0.002,0.00049,2.80037,5.55088,3.77212,3.6576,6e-05,6e-05,6e-05
2,54.2634,2.32008,5.16643,3.08925,2.46516,0.00667,0.91667,0.11896,0.02868,0.00121,0.16667,0.0059,0.00076,2.61221,4.40748,3.55952,3.3955,0.000138614,0.000138614,0.000138614
3,68.6852,2.17976,4.51963,2.92395,2.25198,0.00667,0.91667,0.09651,0.02636,0.00152,0.20833,0.00845,0.00105,2.40045,3.97201,3.57563,3.03756,0.000215644,0.000215644,0.000215644
4,82.2003,2.04605,4.1116,2.9014,2.11359,0.00727,1,0.05233,0.01166,0.00182,0.25,0.00187,0.0003,2.5245,4.26673,3.44555,3.21688,0.00029109,0.00029109,0.00029109
5,95.0445,2.11713,4.16345,2.77837,2.17354,0.00727,1,0.04219,0.00888,0.00061,0.08333,0.00035,5e-05,2.59743,4.53429,3.50458,3.44142,0.000364952,0.000364952,0.000364952
6,108.701,1.889,4.12397,2.61027,1.9804,0.00697,0.95833,0.03816,0.00948,0,0,0,0,2.66792,5.05412,3.52769,3.5777,0.00043723,0.00043723,0.00043723
7,122.904,1.95111,3.84029,2.64453,2.06783,0.00636,0.875,0.06557,0.01494,0.0003,0.04167,0.04514,0.00454,2.75822,5.53572,3.45134,3.63623,0.000507924,0.000507924,0.000507924
8,139.075,1.94023,3.81335,2.57345,2.07,0.00636,0.875,0.07747,0.01536,0.0003,0.04167,0.00019,2e-05,2.83743,6.47794,3.34001,3.57947,0.000577034,0.000577034,0.000577034
9,153.706,1.95314,3.79047,2.63473,2.08753,0.00606,0.83333,0.0595,0.01415,0,0,0,0,2.72866,7.00073,3.38075,3.62636,0.00064456,0.00064456,0.00064456
10,168.973,2.01969,3.91058,2.68808,2.13784,0.00697,0.95833,0.14406,0.03275,0,0,0,0,2.51358,7.12893,3.23719,3.49269,0.000710502,0.000710502,0.000710502
11,182.312,1.89008,3.69537,2.55715,2.04582,0.03213,0.58333,0.07198,0.027,0,0,0,0,2.3716,7.88599,3.28029,3.21706,0.00077486,0.00077486,0.00077486
12,197.623,1.98549,3.67089,2.48092,2.06835,0.06947,0.33333,0.05694,0.01419,0,0,0,0,2.46724,7.4823,3.31022,3.18345,0.000837634,0.000837634,0.000837634
13,213.18,1.9073,3.88891,2.4521,1.99913,0.03376,0.45833,0.03494,0.00718,0,0,0,0,2.8985,8.86744,3.90813,3.98701,0.000898824,0.000898824,0.000898824
14,227.872,1.90261,3.63431,2.37098,2.02925,0.04092,0.375,0.0373,0.00727,0,0,0,0,2.76913,9.61724,4.08867,4.02398,0.00095843,0.00095843,0.00095843
15,243.846,1.90598,3.85544,2.46381,1.98435,0.11654,0.25,0.06368,0.01149,0,0,0,0,2.50614,6.96085,4.70353,3.5667,0.00101645,0.00101645,0.00101645
16,257.116,1.93396,3.74905,2.36085,2.02302,0.12781,0.125,0.04772,0.01304,0,0,0,0,2.61315,6.84052,4.41679,3.72414,0.00107289,0.00107289,0.00107289
17,268.825,2.03862,3.78156,2.51292,2.09612,0.05208,0.25,0.02823,0.00764,0,0,0,0,2.74842,7.06357,4.14304,4.12286,0.00112774,0.00112774,0.00112774
18,281.843,1.92518,3.66378,2.41001,2.03441,0.0414,0.33333,0.0494,0.01136,0,0,0,0,2.81423,8.7039,3.91421,3.37954,0.00118101,0.00118101,0.00118101
19,296.279,2.01025,3.60779,2.32916,2.06127,0.04701,0.45833,0.03358,0.00751,0,0,0,0,3.22218,10.1378,4.37704,4.0617,0.0012327,0.0012327,0.0012327
20,312.1,1.94937,3.80424,2.42118,2.03162,0.02918,0.20833,0.02141,0.00434,0,0,0,0,3.4583,7.89893,5.40269,4.55585,0.0012828,0.0012828,0.0012828
21,325.62,1.90598,3.57724,2.25344,1.99543,0.08728,0.41667,0.06447,0.01152,0,0,0,0,3.04544,6.22037,6.00751,3.87925,0.00133132,0.00133132,0.00133132
22,337.294,1.76232,3.43731,2.204,1.89986,0.12234,0.33333,0.08377,0.0182,0.01632,0.08333,0.00212,0.00021,2.97256,6.01939,5.08326,4.11416,0.00137825,0.00137825,0.00137825
23,349.482,1.71867,3.34652,2.10227,1.84739,0.1416,0.125,0.08936,0.02224,0,0,0,0,2.84366,6.18636,6.27741,4.24946,0.0014236,0.0014236,0.0014236
24,361.578,1.89917,3.56448,2.27524,2.05245,0.0977,0.125,0.09427,0.01847,0,0,0,0,2.81263,5.66323,12.5192,4.62328,0.00146737,0.00146737,0.00146737
25,373.772,1.83796,3.8328,2.17619,1.98631,0.03447,0.16667,0.03448,0.00689,0.00805,0.04167,0.00173,0.0003,2.93968,5.32906,25.4531,5.62454,0.00150955,0.00150955,0.00150955
26,388.357,1.80266,3.39926,2.30703,1.94023,0.03798,0.375,0.03852,0.00701,0.00317,0.04167,0.00052,7e-05,3.17654,5.46813,49.4074,6.84292,0.001505,0.001505,0.001505
27,401.904,1.82509,3.46846,2.2695,1.99843,0.03639,0.58333,0.02924,0.00636,0.00276,0.04167,0.00052,0.00019,3.25292,5.45774,78.7923,7.22566,0.0014852,0.0014852,0.0014852
28,414.967,1.80251,3.48211,2.19833,1.92417,0.0383,0.54167,0.03771,0.00765,0.00196,0.04167,0.00024,5e-05,3.14837,5.72793,75.6801,6.74381,0.0014654,0.0014654,0.0014654
29,429.607,1.84768,3.56123,2.32732,1.9394,0.0446,0.58333,0.06037,0.01027,0.00319,0.04167,0.00136,0.00014,2.97514,7.19421,61.5964,6.34107,0.0014456,0.0014456,0.0014456
30,442.423,1.74051,3.711,2.10761,1.89383,0.0489,0.45833,0.05552,0.0115,0.00422,0.04167,0.00049,9e-05,2.99417,7.25916,39.3269,5.71883,0.0014258,0.0014258,0.0014258
31,458.153,1.73379,3.48468,2.08646,1.87245,0.05996,0.33333,0.07586,0.01363,0.00471,0.04167,0.00039,8e-05,2.82275,6.58711,20.5093,4.76058,0.001406,0.001406,0.001406
